Ticker;Operacao;Cotas;Data;Preco_Unitario;Preco_Total;Taxa_B3;Taxa_CBLC;Outras_Despesas;Preco_Final;Subscricao
VGHF11;COMPRA;100;17/12/2024;"6,88";688;"0,03";"0,17";"0,01";"688,21";
RZTR11;COMPRA;10;17/12/2024;"77,25";"772,5";"0,04";"0,19";"0,01";"772,74";
CPTI11;COMPRA;10;17/12/2024;"79,35";"793,5";"0,04";"0,2";"0,01";"793,75";
RZAT11;COMPRA;10;12/12/2024;"80,9";809;"0,04";"0,2";"0,01";"809,25";
RECR11;COMPRA;10;10/12/2024;"68,5";685;"0,03";"0,17";"0,01";"685,21";
RZTR11;COMPRA;10;10/12/2024;"84,1";841;"0,04";"0,21";"0,01";"841,26";
VGHF11;COMPRA;100;05/12/2024;"7,25";725;"0,04";"0,18";"0,02";"725,24";
RZTR11;COMPRA;10;05/12/2024;"85,21";"852,1";"0,04";"0,21";"0,02";"852,37";
MFII11;COMPRA;10;05/12/2024;"87,51";"875,1";"0,04";"0,22";"0,02";"875,38";
BARI11;COMPRA;15;05/12/2024;"66,85";"1.002,75";"0,05";"0,25";"0,02";"1.003,07";
TGAR11;COMPRA;10;02/12/2024;"96,1";961;"0,04";"0,24";"0,02";"961,3";
NCHB11;COMPRA;100;02/12/2024;"8,27";827;"0,04";"0,2";"0,02";"827,26";
JURO11;COMPRA;10;02/12/2024;"98,2";982;"0,05";"0,25";"0,01";"982,31";
VGHF11;COMPRA;100;30/09/2024;"8,54";854;"0,04";"0,21";"0,01";"854,26";
BARI11;COMPRA;10;30/09/2024;77;770;"0,04";"0,19";"0,01";"770,24";
BODB11;COMPRA;100;30/09/2024;"8,7";870;"0,04";"0,22";"0,01";"870,27";
BODB11;COMPRA;100;24/09/2024;"8,72";872;"0,04";"0,21";"0,01";"872,26";
BDIF11;COMPRA;10;13/09/2024;"82,75";"827,5";"0,04";"0,2";"0,01";"827,75";
RZTR11;COMPRA;10;13/09/2024;"92,37";"923,7";"0,04";"0,23";"0,01";"923,98";
BODB11;COMPRA;100;03/09/2024;"9,07";907;"0,04";"0,22";"0,01";"907,27";
BIDB11;COMPRA;10;27/08/2024;"90,6";906;"0,04";"0,22";"0,01";"906,27";
CPTI11;COMPRA;10;21/08/2024;"96,42";"964,2";"0,04";"0,24";"0,01";"964,49";
BIDB11;COMPRA;10;08/08/2024;"89,85";"898,5";"0,04";"0,22";"0,02";"898,78";
BDIF11;COMPRA;10;08/08/2024;"82,45";"824,5";"0,04";"0,21";"0,02";"824,77";
HSAF11;COMPRA;10;05/08/2024;"83,75";"837,5";"0,04";"0,21";"0,01";"837,76";
VGHF11;COMPRA;100;05/08/2024;"8,7";870;"0,04";"0,21";"0,01";"870,26";
RECR11;COMPRA;10;05/08/2024;"84,2";842;"0,04";"0,21";"0,01";"842,26";
BDIF11;COMPRA;15;24/07/2024;"85,7";"1.285,50";"0,06";"0,32";"0,02";"1.285,90";
VGHF11;COMPRA;100;16/04/2024;"9,05";905;"0,04";"0,22";0;"905,26";
BDIF11;COMPRA;10;02/05/2024;"89,9";899;"0,04";"0,22";0;"899,26";
BDIF11;COMPRA;10;16/07/2024;"87,9";879;"0,04";"0,21";"0,01";"879,26";
BDIF11;COMPRA;10;11/07/2024;"89,16";"891,6";"0,04";"0,22";"0,01";"891,87";
VGHF11;COMPRA;100;03/07/2024;"8,69";869;"0,04";"0,21";"0,02";"869,27";
RECR11;COMPRA;10;03/07/2024;"84,95";"849,5";"0,04";"0,21";"0,02";"849,77";
BTLG11;COMPRA;10;18/06/2024;97;970;"0,06";"0,24";"0,02";"970,32";
RZTR11;COMPRA;10;18/06/2024;"92,2";922;"0,05";"0,23";"0,02";"922,3";
BARI11;COMPRA;10;14/06/2024;"77,15";"771,5";"0,04";"0,19";"0,02";"771,75";
RZAT11;COMPRA;10;14/06/2024;"94,4";944;"0,05";"0,24";"0,02";"944,31";
BDIF11;COMPRA;10;14/06/2024;"89,07";"890,7";"0,04";"0,22";"0,01";"890,97";
BDIF11;COMPRA;10;11/06/2024;"89,2";892;"0,04";"0,22";"0,01";"892,27";
RZAT11;COMPRA;10;11/06/2024;"94,81";"948,1";"0,05";"0,24";"0,01";"948,4";
VGHF11;COMPRA;100;31/05/2024;"8,9";890;"0,04";"0,22";"0,01";"890,27";
HSAF11;COMPRA;10;31/05/2024;"85,89";"858,9";"0,04";"0,21";"0,01";"859,16";
BARI11;COMPRA;10;31/05/2024;"80,89";"808,9";"0,04";"0,2";"0,01";"809,15";
BDIF11;COMPRA;10;04/06/2024;"89,45";"894,5";"0,04";"0,22";"0,01";"894,77";
VGHF11;COMPRA;100;27/05/2024;"8,85";885;"0,04";"0,22";"0,01";"885,27";
