Ticker,Operacao,Nr Cotas,Data da Operacao,Preco Unitario,Preco Total,Taxa da B3,Taxa da CBLC,Outras Despesas,Preco Final,Subscricao
RBED11,COMPRA,17,27/04/2023,"119,99","2.039,83","0,11","0,50",,"2.040,44",
NCHB11,COMPRA,10,25/04/2023,"77,00","770,00","0,03","0,19",,"770,22",
CVBI11,COMPRA,10,10/04/2023,"87,67","876,70","0,06","0,21",,"876,97",
MFII11,COMPRA,10,10/04/2023,"87,74","877,40","0,06","0,22",,"877,68",
VGHF11,COMPRA,150,03/04/2023,"8,81","1.321,50","0,06","0,33",,"1.321,89",
RZTR11,COMPRA,10,03/04/2023,"82,50","825,00","0,04","0,21",,"825,25",
MFII11,COMPRA,10,03/04/2023,"90,30","903,00","0,04","0,23",,"903,27",
BRCO11,COMPRA,10,23/03/2023,"90,15","901,50","0,04","0,22",,"901,76",
RZTR11,COMPRA,10,01/03/2023,"83,15","831,50","0,04","0,21",,"831,75",
HGBS11,COMPRA,20,01/03/2023,"177,46","3.549,20","0,17","0,88",,"3.550,25",
TGAR11,COMPRA,20,28/02/2023,"113,20","2.264,00","0,15","0,56",,"2.264,71",
BRCO11,COMPRA,25,27/02/2023,"92,70","2.317,50","0,11","0,57",,"2.318,18",
CPTI11,COMPRA,10,24/02/2023,"95,35","953,50","0,04","0,23",,"953,77",
BTLG11,COMPRA,25,23/02/2023,"91,97","2.299,25","0,11","0,57",,"2.299,93",
NCHB11,COMPRA,10,23/02/2023,"83,20","832,00","0,04","0,21",,"832,25",
BRCO11,COMPRA,15,22/02/2023,"93,05","1.395,75","0,07","0,34",,"1.396,16",
NCHB11,COMPRA,10,22/02/2023,"83,80","838,00","0,04","0,21",,"838,25",
RZTR11,COMPRA,15,10/02/2023,"81,00","1.215,00","0,06","0,30",,"1.215,36",
NCHB11,COMPRA,15,10/02/2023,"83,50","1.252,50","0,06","0,31",,"1.252,87",
NCHB11,COMPRA,10,07/02/2023,"86,43","864,30","0,04","0,21",,"864,55",
LVBI11,COMPRA,15,19/01/2023,"94,50","1.417,50","0,07","0,35",,"1.417,92",
MCCI11,COMPRA,20,17/01/2023,"89,05","1.781,00","0,08","0,44",,"1.781,52",
PVBI11,COMPRA,10,09/01/2023,"87,00","870,00","0,04","0,22",,"870,26",
HGBS11,COMPRA,5,09/01/2023,"180,45","902,25","0,04","0,22",,"902,51",
NCHB11,COMPRA,9,20/12/2022,"84,80","763,20","0,03","0,19",,"763,42",
RZAT11,COMPRA,10,19/12/2022,"86,00","860,00","0,04","0,21",,"860,25",
RZTR11,COMPRA,10,15/12/2022,"93,40","934,00","0,04","0,23",,"934,27",
NCHB11,COMPRA,10,15/12/2022,"87,45","874,50","0,04","0,22",,"874,76",
BTLG11,COMPRA,10,15/12/2022,"96,20","962,00","0,05","0,24",,"962,29",
RZAT11,COMPRA,10,14/12/2022,"89,70","897,00","0,04","0,22",,"897,26",
MFII11,COMPRA,10,14/12/2022,"92,50","925,00","0,05","0,23",,"925,28",
PVBI11,COMPRA,10,13/12/2022,"90,55","905,50","0,04","0,22",,"905,76",
NCHB11,COMPRA,10,12/12/2022,"90,30","903,00","0,04","0,22",,"903,26",
MFII11,COMPRA,10,12/12/2022,"93,40","934,00","0,05","0,23",,"934,28",
MFII11,COMPRA,10,08/12/2022,"93,50","935,00","0,04","0,23",,"935,27",
BRCO11,COMPRA,10,08/12/2022,"99,90","999,00","0,05","0,25",,"999,30",
CPTI11,COMPRA,10,06/12/2022,"98,50","985,00","0,05","0,25",,"985,30",
RZTR11,COMPRA,10,06/12/2022,"97,55","975,50","0,04","0,24",,"975,78",
PVBI11,COMPRA,10,05/12/2022,"90,50","905,00","0,04","0,22",,"905,26",
CVBI11,COMPRA,15,30/11/2022,"87,75","1.316,25","0,06","0,33",,"1.316,64",
